name,tags,x,y,z,bas_demand
Junction-37482,,"356466.485106020467356","398237.847277853405103","89.087494000000007","0.067350"
Junction-465534,,"355813.521924197149929","396946.081306332664099","25.163336000000001","0.000000"
Junction-455864,,"356635.770000003278255","399285.118999999016523","18.730000000000000","0.000000"
Junction-15859,,"356151.678106270264834","397936.635278373665642","80.402500000000003","0.035004"
Junction-36298,,"355008.674107097671367","398367.108277698629536","35.599964000000000","0.041809"
Junction-457436,,"353037.023991246067453","396560.496642508194782","17.916553000000000","0.000000"
Junction-454935,,"354001.946000002324581","395535.366999998688698","40.127895000000002","0.000000"
Junction-455622,,"355892.761187501251698","398185.152750000357628","60.656193000000002","0.000000"
Junction-1152,,"355543.086231718829367","397952.644778372370638","34.306507000000003","0.043423"
Junction-44234,,"354346.801107637817040","397165.310279745259322","17.891999999999999","0.000000"
Junction-51695,,"356647.228105886082631","398265.540277798660100","69.609999999999999","0.075801"
Junction-59087,,"355250.364106987137347","396759.664280389435589","23.815000000000001","0.020667"
Junction-14634,,"355037.647857068339363","398435.237215087749064","33.463332999999999","0.000000"
Junction-14342,,"354367.433107583899982","398016.514278317452408","22.952500000000001","0.019876"
Junction-14994,,"355585.706106729689054","396959.828280036279466","24.079999999999998","0.000000"
Junction-15882,,"356227.111106166907120","398985.084276607143693","37.534999999999997","0.031301"
Junction-15022,,"355473.213106762152165","398103.682153124304023","40.317500000000003","0.093809"
Junction-15230,,"355616.976919155742507","398035.202653228712734","41.995002999999997","0.020920"
Junction-37791,,"356926.184105691965669","397973.289278274751268","57.364001999999999","0.000000"
Junction-474926,,"356903.447999998927116","397295.368000000715256","81.298705999999996","0.007407"
Junction-36961,,"356027.211106411414221","396821.242280251462944","39.826000000000001","0.080787"
Junction-455347,,"354080.077290020301007","396066.385989775531925","31.480246999999999","0.142708"
Junction-44185,,"353815.042108020395972","397509.253279193420894","12.052424000000000","0.074756"
Junction-472862,,"355885.854999996721745","396429.168999999761581","27.228666000000000","0.155440"
Junction-14357,,"354305.391607620520517","398345.955090265837498","42.552000000000000","0.000000"
Junction-37786,,"356830.824105771607719","397789.540278588188812","74.373329999999996","0.088271"
Junction-474401,,"354461.450000002980232","398505.741000000387430","21.640000000000001","0.000000"
Junction-44236,,"354377.970107601489872","397451.652279264351819","19.649999999999999","0.000000"
Junction-963,,"355326.791106932389084","396740.496280415565707","23.930000000000000","0.009938"
Junction-45257,,"356355.187106109689921","398064.850278149941005","82.430000000000007","0.076814"
Junction-36545,,"355455.368231777625624","398039.140965728787705","37.861820000000002","0.054754"
Junction-1545,,"355797.441106508777011","398407.884277596196625","44.416668000000001","0.046430"
Junction-46335,,"357842.644105083774775","396368.027280926879030","49.350002000000003","0.071022"
Junction-50808,,"354821.071357239503413","398229.608465440105647","42.075000000000003","0.000000"
Junction-14600,,"355043.121107132523321","396929.401280111283995","22.242500000000000","0.000000"
Junction-44211,,"354222.717107677599415","398353.403277757402975","41.427500000000002","0.000000"
Junction-14325,,"354351.230107634910382","397109.442279840994161","19.336668000000000","0.000000"
Junction-462,,"354279.253170147305354","398139.147090613318142","24.692501000000000","0.037790"
Junction-469992,,"352589.340939669753425","396658.045386367593892","14.708492000000000","0.000000"
Junction-308,,"353605.054108181095216","397281.948279581498355","14.805642000000001","0.000000"
Junction-58999,,"354325.011420112219639","398118.112278148997575","26.321999999999999","0.034087"
Junction-44811,,"355905.964106414641719","398761.382276996097062","41.184998000000000","0.081308"
Junction-2109,,"356112.491106248635333","398950.243276672321372","34.604999999999997","0.201576"
Junction-36049,,"353923.006107955356129","397049.186279963119887","15.870123000000000","0.000000"
Junction-59012,,"354558.431294935871847","398267.684840385220014","38.530000000000001","0.160463"
Junction-26270,,"354462.882107534911484","397548.824279097432736","17.065714000000000","0.311780"
Junction-29113,,"357499.449105322011746","396730.768280333722942","48.460000000000001","0.000000"
Junction-26921,,"355594.557106665975880","398174.016277995833661","47.030000000000001","0.000000"
Junction-14698,,"355144.815107061760500","396788.885280345974024","23.997499999999999","0.045987"
Junction-14350,,"354305.231232614256442","398345.689027763728518","42.557499999999997","0.000000"
Junction-37793,,"356804.658105771988630","398205.396277893916704","60.109999999999999","0.463603"
Junction-319,,"353827.279108073911630","396016.210281698033214","35.783459999999998","0.000000"
Junction-14252,,"353935.895295393886045","398208.672215511149261","11.295000000000000","0.126060"
Junction-26369,,"354723.709419796010479","398565.415152381465305","22.204999999999998","0.000000"
Junction-15862,,"356234.335356193128973","398175.699215468368493","77.430000000000007","0.068838"
Junction-591466,,"356336.280546887253877","398839.472302913956810","40.719999999999999","0.000000"
Junction-44308,,"354693.487107373017352","397441.497279267874546","23.430000000000000","0.000000"
Junction-26455,,"355040.746107093233149","397854.789278561715037","23.835000000000001","0.000000"
Junction-59259,,"356124.106793743208982","398981.136026619700715","33.979999999999997","0.078681"
Junction-59069,,"355116.574107081396505","396882.431280189135578","22.600000000000001","0.035922"
Junction-27469,,"356100.927106308459770","397879.981278467690572","71.161670000000001","0.035226"
Junction-26290,,"354477.760544988675974","398437.738652603933588","26.473333000000000","0.000000"
Junction-14398,,"354441.990107550576795","397607.602279000566341","16.347142999999999","0.000000"
Junction-1528,,"355917.660106476920191","397036.621279893442988","41.670000000000002","0.000000"
Junction-456042,,"355942.041000001132488","396854.754999998956919","29.116667000000000","0.111596"
Junction-61159,,"356753.371640444616787","398012.338285266596358","77.696659999999994","0.061242"
Junction-26303,,"354622.670107463607565","396546.964280775631778","26.962499999999999","0.018832"
Junction-14304,,"354272.581107741862070","396092.342281552555505","29.598853999999999","0.353935"
Junction-50622,,"352949.322108692023903","396703.878280585166067","13.140642000000000","0.000000"
Junction-455638,,"354371.494999997375999","396014.697000000625849","29.485643000000000","0.000000"
Junction-44215,,"354212.072107675136067","398527.079277465294581","34.632500000000000","0.073364"
Junction-858,,"355108.791107090888545","396809.722280310350470","24.265000000000001","0.035954"
Junction-36139,,"354406.794107541558333","398347.357277761097066","40.288333999999999","0.388752"
Junction-50776,,"354656.149107385892421","397621.295278970850632","20.320000000000000","0.027503"
Junction-2087,,"356178.768106247298419","397916.416278406162746","80.563329999999993","0.073933"
Junction-468783,,"355941.829125002026558","398118.867125000804663","68.885059999999996","0.000000"
